w,N_tokens,V,E,Q_modularity,density,avg_degree,avg_clustering
5,110639,6920,223520,0.2975159198657804,0.0093367764228015,64.60115606936417,0.5775410536354579
10,110639,6920,373748,0.2873919778659975,0.0156120325450485,108.01965317919075,0.6220019380736065
15,110639,6920,494436,0.2785292148955191,0.0206533571375461,142.90057803468207,0.6386337785347747
