node,strength_within,eigenvector_w_within,betweenness_w_within,louvain_cluster
vascular,14.301976620232745,0.25203407144976847,0.05647058823529411,0
neurological,13.65331106014186,0.24057923282828966,0.054901960784313725,0
chronic,12.873483506167467,0.2161369749726764,0.04862745098039215,0
high,10.700205259940407,0.18657171476882847,0.012549019607843137,0
hormonal,10.631933435988996,0.18485181171678994,0.05411764705882353,0
aging,10.199321654076238,0.1766460219936371,0.02196078431372549,0
pressure,10.034338989097911,0.1737836592743508,0.006274509803921568,0
diabetes,9.719663668995217,0.18477105589657422,0.004705882352941176,0
pelvic,9.550173203776474,0.1742844783337193,0.038431372549019606,0
heart,9.549459440148883,0.16998472825972322,0.00784313725490196,0
growth,11.73519204374124,0.19748212357444178,0.016917293233082706,1
condition,11.188381257055555,0.1915887778922812,0.020676691729323307,1
testicles,11.161816414264493,0.18301120418697195,0.02756892230576441,1
hypogonadism,10.747651766674792,0.17509742327784084,0.010651629072681704,1
called,10.5999479053329,0.17359344794483927,0.020050125313283207,1
enough,10.599630556359157,0.181358337882839,0.05701754385964912,1
sperm,10.229061173083393,0.17067990408189548,0.020676691729323307,1
breast,10.047757915500375,0.17436242755141076,0.020676691729323307,1
testosterone,10.041637512420829,0.1668634381270974,0.006265664160401002,1
puberty,10.041518069194032,0.1707018148012313,0.02882205513784461,1
things,11.660751918248451,0.20269368616043498,0.06400409626216078,2
four,11.488272904002548,0.20254672796094278,0.02816180235535074,2
hours,11.144927223823997,0.20066287166273977,0.031746031746031744,2
medication,10.922989920717523,0.17504235640852958,0.026113671274961597,2
cialis,10.8460004085216,0.19851329176207627,0.01638504864311316,2
stimulation,10.181082692861668,0.18325907989064244,0.021505376344086023,2
stendra,10.029571432153157,0.1811152897136408,0.009216589861751152,2
side,9.898715183151689,0.1499949545374339,0.009728622631848437,2
minutes,9.786215111711027,0.16672108165987096,0.05017921146953405,2
viagra,9.785622063493223,0.17774050882287237,0.002304147465437788,2
locations,12.053968127697111,0.19867524878716994,0.021709633649932156,4
care,11.140746400336681,0.16944051421750028,0.003165988240615106,4
contact,10.822612514735686,0.16905331058196504,0.028946178199909543,4
california,10.520486514181789,0.17080510037330277,0.06919945725915876,4
center,10.34077024160207,0.1710701618021115,0.037991858887381276,4
patient,10.127107804568741,0.1622062718809488,0.0018091361374943465,4
resources,10.014011949022589,0.15918385959628456,0.016960651289009497,4
find,9.886903978357639,0.15586265791449905,0.0067842605156037995,4
doctor,9.817529434430831,0.15680053524951598,0.004070556309362279,4
clinics,9.803833933128297,0.16140468431900723,0.031207598371777476,4
emotional,10.780604988358531,0.2133779633834942,0.07112638815441566,6
rigid,9.941856925990797,0.18160325756504903,0.01956636700158646,6
physical,9.789718850399938,0.1895249813845946,0.010047593865679535,6
without,9.698893223308911,0.1906195586614216,0.02908514013749339,6
pleasure,9.25720420215536,0.18317626976425738,0.05526176626123744,6
sexual,9.016424685166276,0.15027445414799281,0.0,6
sensation,8.789612633338516,0.1443879982469587,0.0452141723955579,6
nerves,8.65966940731684,0.13038517331560948,0.0026441036488630354,6
important,8.612191858897765,0.15401848069493562,0.005817028027498678,6
process,8.593520648910975,0.1644804910153489,0.030407191961924908,6
