node,deg,deg_norm,betweenness,eigenvector,pagerank,cluster
academic,134,0.019366961,4.05E-05,0.012331199,0.000186278,0
academic/,20,0.002890591,1.72E-07,0.00395445,6.58E-05,4
academy,50,0.007226478,3.39E-05,0.006060487,0.000130066,5
accelerate,65,0.009394421,2.84E-06,0.008032216,0.00010334,6
accept,169,0.024425495,6.25E-05,0.016289218,0.000224012,6
acceptable,47,0.006792889,4.60E-06,0.007280585,8.96E-05,0
access,491,0.070964012,0.001510179,0.027269438,0.000597129,5
accessible,87,0.012574071,2.76E-05,0.010369768,0.000166021,2
accho,11,0.001589825,2.37E-08,0.0015606,5.85E-05,1
accident,80,0.011562365,6.12E-06,0.010755445,0.000134987,4
accidental,52,0.007515537,6.33E-06,0.006918717,0.000102917,3
accidentally,46,0.00664836,4.07E-07,0.007279633,9.00E-05,2
acclimate,19,0.002746062,2.57E-08,0.003792872,5.15E-05,6
accommodate,15,0.002167943,4.82E-08,0.002957166,4.77E-05,2
accompany,85,0.012285012,1.76E-05,0.009789237,0.000138065,6
accomplish,31,0.004480416,3.41E-07,0.005298638,7.00E-05,0
accomplishment,19,0.002746062,5.84E-07,0.003540045,5.94E-05,6
accord,488,0.070530423,0.000478832,0.028245969,0.000475015,4
accordance,19,0.002746062,3.41E-07,0.003320742,5.90E-05,4
accordingly,65,0.009394421,2.44E-06,0.008453478,0.000103899,6
account,204,0.029484029,7.51E-05,0.018864409,0.000255695,4
accredit,20,0.002890591,4.35E-07,0.00331213,7.09E-05,9
accredited,27,0.003902298,3.35E-08,0.004506846,6.02E-05,4
accumulate,20,0.002890591,2.52E-07,0.002869964,6.48E-05,7
accumulation,39,0.005636653,2.03E-07,0.006423272,7.41E-05,7
accuracy,82,0.011851424,1.01E-05,0.010738907,0.000145098,4
accurate,263,0.038011273,7.83E-05,0.019954445,0.000267235,4
accurately,86,0.012429542,6.63E-06,0.01044113,0.000138355,4
accusation,19,0.002746062,1.21E-07,0.003971923,6.02E-05,0
acerus,49,0.007081948,1.73E-05,0.003983171,0.000163394,9
ache,37,0.005347594,1.36E-06,0.005307938,8.10E-05,6
achievable,20,0.002890591,7.18E-07,0.003386672,6.40E-05,6
achieve,629,0.090909091,0.00103127,0.035034409,0.00057932,2
achievement,19,0.002746062,6.65E-08,0.003372869,5.84E-05,7
acid,72,0.010406128,1.24E-05,0.00845505,0.000141463,7
acknowledge,33,0.004769475,2.87E-07,0.005608812,6.83E-05,9
acne,387,0.055932938,0.000251236,0.024239111,0.000359301,7
acoustic,30,0.004335887,5.90E-07,0.004670987,7.49E-05,7
acquire,138,0.019945079,3.63E-05,0.012778132,0.000196619,7
act,500,0.072264778,0.000565204,0.029858411,0.000496535,2
action,270,0.03902298,0.000142031,0.0221433,0.000286363,6
activate,19,0.002746062,9.22E-08,0.003772728,5.23E-05,2
activation,41,0.005925712,5.74E-06,0.005336646,9.59E-05,7
active,359,0.051886111,0.000225721,0.025202445,0.000349829,7
actively,73,0.010550658,1.93E-05,0.009564465,0.000124789,1
activity,531,0.076745194,0.000666657,0.030878732,0.00050785,6
actual,159,0.022980199,2.84E-05,0.015850655,0.000203338,0
actuality,35,0.005058534,2.06E-06,0.0051959,8.57E-05,7
actually,653,0.0943778,0.000702683,0.033675226,0.000528578,0
actuation,27,0.003902298,2.44E-07,0.005107997,6.66E-05,2
actuator,17,0.002457002,1.01E-07,0.003054451,5.98E-05,2
acuity,20,0.002890591,4.67E-08,0.003727846,5.93E-05,6
acute,110,0.015898251,0.000217343,0.010565541,0.000214849,5
adam,121,0.017488076,2.05E-05,0.011622651,0.000157221,4
adams,20,0.002890591,6.57E-06,0.000687754,0.000119865,5
adapt,109,0.015753722,4.02E-05,0.012117968,0.000184268,2
adaptation,52,0.007515537,1.47E-06,0.00796614,0.000102105,4
add,505,0.072987426,0.000620913,0.030484732,0.000496601,10
addict,40,0.005781182,1.24E-06,0.004893422,9.07E-05,0
addiction,20,0.002890591,7.74E-07,0.003490882,5.62E-05,7
addison,32,0.004624946,3.22E-06,0.004337975,8.10E-05,7
addition,348,0.050296286,0.000143876,0.023836058,0.00031049,6
additional,305,0.044081515,0.000208782,0.023504207,0.000340116,4
additionally,289,0.041769042,0.000127695,0.022981007,0.000302734,4
additive,20,0.002890591,2.87E-07,0.003187404,6.72E-05,2
address,537,0.077612372,0.00047641,0.030917555,0.000456676,9
addressing,20,0.002890591,3.87E-08,0.003821556,5.75E-05,2
adenoma,74,0.010695187,1.69E-05,0.008111825,0.000148033,7
