node,x,y,is_AMS
(aspen,-0.07274648455734073,-0.2800159828016914,0
(bayer,-0.07055796062692501,-0.4073712608044602,0
"(besin),gel",-0.003578742301360963,-0.4076447611451458,0
"(ferring),gel",0.0032005129852374697,-0.4014958189940748,0
(nordic,0.007762413346976296,-0.4808395192071715,0
"(prostrakan),gel",0.01791525179180039,-0.4149754692832315,0
"+1,150%)—likely",0.08880989479714388,0.09206806678530381,0
.in,-0.1194194583258675,0.11188218839689079,0
/memory,-0.25328211763958336,-0.2294768961760498,0
1.publishe,-0.017302400453117966,0.4222302372357936,0
10division,0.09476355369159341,0.3408614395788171,0
11division,0.09231547957717591,0.318389539496409,0
12department,0.039726316696833956,0.27930184917703016,0
12nmol,-0.09319961116413118,-0.08902613050286794,0
13a,0.2471744563589704,0.3390351279330329,0
15nmol,0.3498865721902448,-0.222189307362469,0
1688%—a,0.2212868033724088,0.09051170335966388,0
180pmol,-0.30169957068845304,-0.02983911004523743,0
18y,-0.2952941113201581,0.16006747160416854,0
1gm,-0.029217227482907972,-0.4628101771604126,0
1improvement,-0.16082333719042405,-0.2643075085620347,0
2021;15(5):e234,0.021070688641006252,0.22384431391583237,0
2023a,0.37675491014984425,-0.8137797342514825,0
20s-30s,0.12879051700437694,-0.29889102459759903,0
20y,-0.3001096225754193,0.16632068463701274,0
24emory,0.4179247072452944,0.04552428834571095,0
2838ur,-0.22957223980679162,-0.01822188965500738,0
2improved,-0.17965987165704053,-0.2684662849089507,0
300s,0.22060844735432536,-0.2260792816506446,0
35y,-0.2978959358442825,0.15570721245531619,0
3improved,-0.24559422469723802,-0.33304156948263947,0
40s-60s,-0.34672463500364387,-0.4282672921724403,0
40y,-0.31000075691336826,0.16043529817106483,0
45y,-0.34241687457631054,0.1168039785430182,0
4636(4men,0.4094727678843989,0.047121935562329076,0
4improved,-0.2783115412838122,-0.3199621868611953,0
4ml,-0.051144784053155465,-0.45872895177713746,0
50s+,0.2833769931510871,-0.12575160018363238,0
50y,-0.3331446196509285,0.11628813186455399,0
5increased,-0.3612867651087556,-0.3354619973644794,0
60s,-0.3465168033124075,0.07203176945772372,0
60s-80s,-0.3432429282718027,-0.432105700948613,0
60y,-0.3155325071242789,0.09626704944731639,0
65y,-0.31700685119282274,0.09352797169254186,0
682x.143317,0.09616755799860785,0.41288880112805454,0
69y,-0.2839921561825314,0.07594061584668331,0
6increase,-0.3777390356016481,-0.3081826715550965,0
700s,0.2902886366547641,-0.35971498116621586,0
7improve,-0.36341909101989434,-0.27889881990865983,0
80y,-0.28322662975474194,0.06297043782417985,0
8improve,-0.3318235376269835,-0.2635403562426821,0
950ng,0.0013910804982470999,-0.3461323680207802,0
9increase,-0.2823414558282751,-0.16278496485157065,0
@anaveciana,0.14351022487365697,0.143542848895557,0
a&e,0.14335167204464583,0.15290208066416677,0
a.a,0.09198023288169409,0.37397029151313604,0
a.b,-0.1953338644661606,0.365902493406141,0
a.d.a.m,0.0645026985415759,0.19073945840658327,0
a.i,0.18448371847260864,0.5139106741042448,0
a.m.,-0.022304913808795346,0.3387213004052548,0
a.r,0.2178661774063133,0.4689233881219609,0
a1c,-0.2810642169260343,0.1615350956257078,0
aas,-0.35192510540411076,-0.13127068933370148,0
abbott,-0.017660048303602974,0.22234530855901094,0
abbreviate,-0.14397239077735893,0.10619334765424548,0
abbreviation,-0.02699565766165445,0.2089197467323771,0
abbvie,0.03029640562557003,0.3026048882959561,0
abdoman,-0.05571436774559136,-0.24458147327261792,0
abdomen,-0.2618180868345077,-0.1843160928626783,0
abdominal,-0.2979983951900609,-0.2631536977750183,0
abdulmage,-0.010233799142755125,0.5173267592389397,0
abhinav,0.1443993220001048,0.18134620175165023,0
abnormal,-0.2751970779838658,-0.08986242839691808,0
abnormality,-0.2983559232591531,-0.16893191282993214,0
abnormally,-0.2194037375505911,0.04010182655441615,0
aboriginal,0.2762773967495726,0.12229395831056242,0
abraham,0.18986221354135077,0.40902939002298755,0
abrupt,-0.20130879616129552,-0.2252098944558745,0
absence,-0.3439896946009822,-0.003966182811749363,0
absent,-0.22885198758543543,-0.16740484689326127,0
absolute,-0.16599815734192386,0.04888757293862941,0
absolutely,0.2754186318061349,-0.04926806323232621,0
absorbable,0.12582662794998192,-0.31728557859769096,0
absorbed,-0.06841288840631415,-0.4571566839838099,0
absorbent,0.06921926295294346,-0.3123324191258445,0
absorption,-0.1225556419787339,-0.30983187332240775,0
abstract,0.05078477419245888,0.2762576731076471,0
abundant,-0.03753476105869116,-0.22373772543901982,0
abuse,-0.10894776795033796,0.19402539426185453,0
academic,0.17692653058273852,0.21141160939517928,0
academic/,-0.024270445386260376,0.0689252941811497,0
academy,0.0521242821304959,0.2266440263953547,0
accelerate,-0.11485956691352857,-0.07576527311825747,0
accept,0.13739061201923064,0.0952598257328185,0
acceptable,0.1814120164727194,0.014043239007800397,0
access,0.41364967577650374,0.2659917152353582,0
accessible,0.10958460288042657,-0.11717301163008238,0
accho,0.39751987747393264,0.2054690138588874,0
accident,-0.13924023460269389,-0.02307822440184343,0
accidental,-0.19680287460376572,0.07435223287142366,0
accidentally,-0.03959022477652244,-0.24441987061558182,0
acclimate,0.23095630255821403,-0.3960661534063568,0
accommodate,-0.07238659706928377,0.21895507163987243,0
accompany,-0.08596028781815884,0.003062850577705503,0
accomplish,0.12908012696714044,0.03912133971753119,0
accomplishment,0.10063881635633873,-0.20045133674254492,0
accordance,-0.0869546809398919,0.13371565469802352,0
accordingly,-0.18266168799885257,-0.08004916521758929,0
account,-0.034372728642826235,0.044603103926744235,0
accredit,0.26847901970303195,0.08316183774644546,0
accredited,0.14363418055531887,0.22068110055619697,0
accumulate,-0.2910259095545912,-0.12463294684889206,0
accumulation,-0.07592194115236181,-0.44004045647688383,0
accuracy,-0.07598183644598995,0.01792052664665749,0
accurate,0.1427611529347065,0.022873385792108382,0
accurately,-0.16608819628396843,0.12821963126718677,0
accusation,0.07989383069798392,-0.18291304831595157,0
acerus,0.06289724293401595,0.3858607933228616,0
ache,-0.028626384364991268,-0.3450525051193616,0
achievable,0.11663616427897362,-0.18722890328785613,0
achievement,-0.16001725886308016,-0.03339466933408943,0
acid,-0.17594668321270276,-0.13888090924344051,0
acknowledge,0.3222057189062074,0.24048460794874485,0
acne,0.018439709734532538,-0.34868245206466364,0
acoustic,0.022965197763734093,-0.26385989641974267,0
acquire,-0.3428583569698385,-0.09585759065203196,0
act,-0.360353780995569,-0.3251925944967527,0
action,-0.13351929331977697,-0.17868812907406986,0
activate,-0.06402367113186577,0.16272039168576383,0
activation,-0.01914176783635469,0.05263065298542753,0
active,-0.21742317383357102,0.04462575006021046,0
actively,-0.05691716803764128,-0.07570161587546154,0
actual,0.2059899720992816,-0.08870794003022263,0
actuality,-0.10939913325125572,0.05028972506304059,0
actuation,0.060967086055412165,-0.17884382747662284,0
actuator,-0.03206981675701427,-0.374762102744472,0
acuity,-0.08645332529843544,-0.10097786335217293,0
acute,-0.1632187872433339,0.2815381317352988,0
adam,-0.028146128743265292,0.08405781229480552,0
adams,-0.08759047517599584,0.4535361722017359,0
adapt,0.003941419798485612,-0.15365879081479172,0
adaptation,-0.08310948457011531,-0.004641679536047195,0
addict,0.31124563672131117,0.17911024682983984,0
addiction,-0.4205709865220862,0.06777647977216104,0
addison,-0.3097479435438135,0.11070190020456602,0
addition,-0.0978245960964554,0.08017767844174134,0
additional,-0.2492693037933979,0.08235509529169774,0
additionally,-0.03429565009080394,-0.016241544578951373,0
additive,0.13420702372939322,-0.15963791924489942,0
address,0.4032776165026417,0.37687969760344,0
addressing,0.11809302133477571,-0.3967478795108774,0
adenoma,-0.36287447858321875,-0.056596850705167685,0
adenomas,-0.5329486096090323,-0.24447041989782303,0
adequacy,-0.09021176883297861,0.07076669170347097,0
adequate,-0.1262420011572499,-0.04509210627895364,0
adhere,0.031763898227401166,-0.20594418784617832,0
adherence,-0.038279066559274696,-0.036249178519694336,0
adhesive,-0.08885064906069202,-0.3226573264539669,0
adipose,-0.21093005622474528,-0.07603334028544584,0
adiposity,0.12966178790733493,-0.08365588914518456,0
adjudicate,-0.24717584511635218,0.023353167968394022,0
adjunct,-0.1807566342435408,-0.23603597943929638,0
adjunctive,-0.009130424179309463,0.21108506102898095,0
adjust,-0.09411297943384143,0.0038755795613394455,0
adjusted).446,-0.11395365069962504,0.01632123142342504,0
adjustment,-0.19417644958048103,-0.048257248814614684,0
adjustment.28,-0.10333454142821473,0.07063869844742122,0
administer,-0.446295388675258,-0.45059392642550244,0
admission,-0.11493761008925191,0.37867380228430075,0
admit,0.12138591482471339,0.18700316636959635,0
