node,deg,deg_norm,betweenness,eigenvector,pagerank,community
(aspen,24,0.003468709351062292,1.1957766215892697e-06,0.0026317585983459202,7.047138671093999e-05,2
(bayer,24,0.003468709351062292,4.945812729626484e-07,0.002489203816232156,7.575275596387305e-05,2
"(besin),gel",22,0.003179650238473768,2.4656283637746173e-07,0.001895903852821442,7.788130986038177e-05,2
"(ferring),gel",22,0.003179650238473768,5.636512173551307e-07,0.002301588035022794,7.118102342116538e-05,2
(nordic,23,0.00332417979476803,1.5782461114035788e-07,0.003027220039955318,6.392142051410853e-05,2
"(prostrakan),gel",21,0.0030351206821795057,3.889075868014604e-07,0.0017511578342389565,7.863179647207807e-05,2
"+1,150%)—likely",27,0.003902298019945079,4.1938112505326794e-07,0.002968480881340247,7.332335027483804e-05,9
.in,28,0.004046827576239341,3.012785191034639e-07,0.0037579333968389217,7.338603652309762e-05,3
/memory,29,0.004191357132533603,1.1434420676551741e-07,0.0038843492162362278,6.349474318481547e-05,3
1.publishe,22,0.003179650238473768,1.300783179507858e-06,0.001826385535720861,7.927244288378238e-05,8
10division,19,0.0027460615695909813,1.362531351052568e-06,0.0018520459376138378,6.452575889637705e-05,6
11division,19,0.0027460615695909813,2.3488509625212024e-07,0.0017137135736415567,6.866649208913411e-05,6
12department,28,0.004046827576239341,3.2488695316742823e-06,0.0028285416625384143,7.828107457517265e-05,6
12nmol,26,0.0037577684636508164,8.847981375500147e-08,0.0034387635517133105,5.842214858646577e-05,4
13a,15,0.0021679433444139326,5.498945437369569e-09,0.0019296953247714358,4.711278663369539e-05,9
15nmol,24,0.003468709351062292,3.0801654599950924e-08,0.0036252330861544966,5.021006056075294e-05,4
1688%—a,24,0.003468709351062292,5.6627194076712204e-08,0.0035063714374916465,5.288557076349038e-05,3
180pmol,21,0.0030351206821795057,5.013728233059231e-08,0.003176283809962149,5.0915513142254494e-05,4
18y,73,0.010550657609481139,7.239687918104147e-06,0.0054172651523370224,0.00012919202766690743,1
1gm,22,0.003179650238473768,2.1779912043407693e-07,0.002080641419447887,7.719957907297343e-05,2
1improvement,29,0.004191357132533603,4.295460994722961e-07,0.003540850160421586,6.052157540212308e-05,3
2021;15(5):e234,27,0.003902298019945079,2.4907569207979706e-07,0.0034629731878135805,6.998702457167763e-05,4
2023a,18,0.0026015320132967193,1.1783063893097402e-09,0.0024222126335052573,4.0805601904159855e-05,3
20s-30s,23,0.00332417979476803,2.1467033051257874e-07,0.0026724998118366405,5.812303625762654e-05,4
20y,76,0.010984246278363925,8.192643298015708e-06,0.005496426718211914,0.00013342949442161068,1
24emory,28,0.004046827576239341,5.260914087262506e-07,0.004029310075539508,6.109615239946804e-05,4
2838ur,25,0.0036132389073565544,7.10794857543491e-07,0.003346046536979072,5.838825721109702e-05,5
2improved,29,0.004191357132533603,9.053554869909546e-07,0.0035838065177940027,6.421503562718423e-05,3
300s,42,0.006070241364359011,8.541286969745208e-08,0.00559886030036538,6.337888887543603e-05,0
35y,77,0.011128775834658187,8.665669080635318e-06,0.005535900504448728,0.00013286352977546595,1
3improved,29,0.004191357132533603,2.0274441007745512e-06,0.0029932816532732727,7.519158359457586e-05,3
40s-60s,23,0.00332417979476803,1.0298840804520776e-08,0.0030470114225475933,4.870697805521427e-05,3
40y,78,0.01127330539095245,8.567116027567223e-06,0.005673636465393161,0.00013325206474925478,1
45y,80,0.011562364503540975,1.1284243194944018e-05,0.00580957911522454,0.00013576812857535455,1
4636(4men,37,0.0053475935828877,6.562568402590879e-07,0.004360169931007658,7.065339485742977e-05,4
4improved,29,0.004191357132533603,2.6535682978078958e-06,0.0029177741977631376,7.50717774311999e-05,3
4ml,22,0.003179650238473768,1.0409688019229156e-07,0.0022199011111177316,7.448382624596912e-05,2
50s+,28,0.004046827576239341,4.7861252178071255e-08,0.003963040303718501,5.2798891373559835e-05,5
50y,79,0.011417834947246712,1.0828904019520101e-05,0.005794478360005421,0.00013519142362348465,1
5increased,28,0.004046827576239341,4.633502047311443e-07,0.0029949925999643214,7.77221058840515e-05,3
60s,19,0.0027460615695909813,7.040577064132267e-09,0.0027322210430332076,4.450812783607537e-05,3
60s-80s,24,0.003468709351062292,1.6655494784876278e-08,0.003141261211106629,5.068340786230302e-05,3
60y,78,0.01127330539095245,1.0685752650288946e-05,0.005663216434831017,0.00013493855342044733,1
65y,76,0.010984246278363925,1.022284132423947e-05,0.005541847307487127,0.00013133003278057372,1
682x.143317,30,0.004335886688827865,1.3619567584628276e-06,0.0022714461572899028,0.00010102508273951541,8
69y,75,0.010839716722069664,8.278656205197977e-06,0.005703383913346735,0.00012281177384614728,1
6increase,27,0.003902298019945079,4.1570320004834865e-07,0.002844678676015403,7.625143960820365e-05,3
700s,23,0.00332417979476803,1.139928607290018e-08,0.003527186409971215,5.255216021575095e-05,0
7improve,26,0.0037577684636508164,1.1707660722909095e-07,0.002916863256301005,7.484544642632224e-05,3
80y,75,0.010839716722069664,7.64989899494532e-06,0.005884954550894283,0.00012122300077410057,1
8improve,27,0.003902298019945079,6.496428518142024e-07,0.003180149092852401,7.297263142034279e-05,3
950ng,28,0.004046827576239341,2.9750166068918728e-08,0.004233088873695299,5.691019960989107e-05,4
9increase,29,0.004191357132533603,1.1683400588616747e-06,0.003313796794614449,7.676489830777968e-05,3
@anaveciana,24,0.003468709351062292,2.6409353405847787e-07,0.0023630666974597514,7.160387911257063e-05,6
a&e,21,0.0030351206821795057,4.5696450054398566e-08,0.002675480954005841,5.90681619052136e-05,0
a.a,29,0.004191357132533603,1.1111975522564507e-06,0.003259742876673293,7.554163892307287e-05,8
a.b,28,0.004046827576239341,1.5171941377792274e-06,0.0027340521530273996,8.666415075368824e-05,8
