node,is_AMS,eigenvector
patient,False,0.0536695666207489
not,False,0.0534888052436098
time,False,0.0500156299770083
health,False,0.0498732953755735
treatment,False,0.0489209893053051
like,False,0.0480040571789642
testosterone,False,0.0476786919225154
therapy,False,0.0472093044914196
man,False,0.0469442990688716
include,False,0.0462546775851885
good,False,0.0459897197712925
need,False,0.0457750709645614
work,False,0.0452524041615636
study,False,0.0449703598454616
trt,False,0.0449015440461105
use,False,0.0447458319128403
medication,False,0.0447145111290719
medical,False,0.0445938893849846
result,False,0.0443087860551323
effect,False,0.044153848208452
