node,is_AMS,pagerank
testosterone,False,0.0015104490085006
man,False,0.0014967952610445
health,False,0.0014403456990816
not,False,0.0013986818392378
therapy,False,0.0012945880983868
patient,False,0.0012825689663289
like,False,0.0012267125223307
treatment,False,0.0012236531915637
level,False,0.0012152773352418
study,False,0.0011302627464475
hormone,False,0.0011257802810922
include,False,0.0011187813755982
low,False,0.0011105935168516
medical,False,0.0011093076604318
time,False,0.0011071394353595
risk,False,0.0010875930610767
male,False,0.001080673330994
increase,False,0.0010379044751794
body,False,0.0009924210147917
cause,False,0.0009902767786736
