node,stability,mode_cluster
hair,0.455,0
night,0.395,1
erection,0.3875,4
orgasm,0.385,4
depressed,0.3775,4
muscle,0.3775,4
libido,0.3775,4
gain,0.3775,4
anxiety,0.3775,4
erectile,0.3775,4
hot,0.375,4
ejaculation,0.36,4
weight,0.355,4
