metric,median_AMS,median_nonAMS,MWU_stat,p_value,cliffs_delta,p_adj_fdr
deg_norm,0.0799248446307269,0.0049140049140049,83096.5,1.0573326965151431e-07,0.8508870599503291,2.365617176877837e-07
pagerank,0.0004762858849121,8.862867976368851e-05,82560.0,1.6606974565786257e-07,0.8389370872359145,2.365617176877837e-07
eigenvector,0.0280188488980577,0.0051055952412658,81944.0,2.630120847450176e-07,0.8252163357129334,2.630120847450176e-07
betweenness,0.0006120907953128,1.9547484169395437e-06,82472.0,1.7742128826583777e-07,0.8369769798754886,2.365617176877837e-07
